"",".id","X.Intercept.","call","AIC","plant_rich","scelev","evi","plant_rich.evi","plant_rich.scelev","evi.scelev","R2m","R2c"
"123","Selasphorus calliope_fall","-7.63 [0.46]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + (1 | month)",9310,"0.44 [0.05]*","0.5 [0.04]*","10.72 [1.11]*","-0.6 [0.15]*",NA,NA,0.230446349849693,0.37169819510734
"124","Selasphorus calliope_fall","-7.39 [0.49]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + plant_rich * scelev + (1 | month)",9309,"0.4 [0.05]*","0.29 [0.14]*","10.01 [1.19]*","-0.48 [0.17]*","0.03 [0.02]",NA,0.223966483718154,0.365390246483569
"125","Selasphorus calliope_fall","-7.29 [0.46]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + evi * scelev + (1 | month)",9226,"0.42 [0.05]*","-0.31 [0.1]*","9.29 [1.18]*","-0.42 [0.16]*",NA,"3.08 [0.34]*",0.227311210408878,0.353934246851157
"126","Selasphorus calliope_fall","-7.1 [0.47]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + plant_rich * scelev + evi * scelev + (1 | month)",9226,"0.39 [0.05]*","-0.54 [0.17]*","8.75 [1.21]*","-0.33 [0.17]","0.03 [0.02]","3.08 [0.34]*",0.226094414759234,0.352597274179438
"127","rich_fall","-2.66 [0.44]*","resp ~ (1 | month)",43358,NA,NA,NA,NA,NA,NA,0,0.199262557565669
"128","rich_fall","-3.87 [0.34]*","resp ~ plant_rich + (1 | month)",42382,"0.23 [0.01]*",NA,NA,NA,NA,NA,0.0961808046702172,0.0961808046702172
"129","rich_fall","-4.09 [0.33]*","resp ~ plant_rich + scelev + (1 | month)",41963,"0.25 [0.01]*","0.27 [0.01]*",NA,NA,NA,NA,0.101989328946143,0.101989328946143
"130","rich_fall","-3.39 [0.45]*","resp ~ evi + (1 | month)",42196,NA,NA,"3.65 [0.1]*",NA,NA,NA,0.0405810720710474,0.182655624486594
"131","rich_fall","-3.62 [0.45]*","resp ~ evi + scelev + (1 | month)",41666,NA,"0.3 [0.01]*","4.12 [0.11]*",NA,NA,NA,0.050571329817784,0.193407032101343
"132","rich_fall","-4.48 [0.32]*","resp ~ plant_rich + evi + (1 | month)",41337,"0.22 [0.01]*",NA,"3.43 [0.1]*",NA,NA,NA,0.132367022246422,0.132367022246422
"133","rich_fall","-4.65 [0.33]*","resp ~ plant_rich + evi + plant_rich * evi + (1 | month)",41335,"0.24 [0.02]*",NA,"4.19 [0.42]*","-0.11 [0.06]",NA,NA,0.125925846792942,0.125925846792942
"134","rich_fall","-4.91 [0.29]*","resp ~ plant_rich + evi + scelev + (1 | month)",40666,"0.25 [0.01]*","0.35 [0.01]*","4.02 [0.11]*",NA,NA,NA,0.143251728259336,0.143251728259336
"135","rich_fall","-4.87 [0.28]*","resp ~ plant_rich + evi + scelev + plant_rich * scelev + (1 | month)",40614,"0.24 [0.01]*","0.01 [0.05]","4.17 [0.11]*",NA,"0.05 [0.01]*",NA,0.161975801300774,0.161975801300774
"136","rich_fall","-4.96 [0.27]*","resp ~ plant_rich + evi + scelev + evi * scelev + (1 | month)",40340,"0.27 [0.01]*","-0.24 [0.03]*","3.97 [0.11]*",NA,NA,"2.43 [0.14]*",0.160183128197486,0.160183128197486
"137","rich_fall","-4.81 [0.31]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + (1 | month)",40667,"0.23 [0.02]*","0.35 [0.01]*","3.59 [0.44]*","0.06 [0.06]",NA,NA,0.135868753763929,0.135868753763929
"138","rich_fall","-4.49 [0.31]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + plant_rich * scelev + (1 | month)",40602,"0.18 [0.02]*","-0.05 [0.05]","2.54 [0.45]*","0.24 [0.07]*","0.06 [0.01]*",NA,0.151743512168389,0.151743512168389
"139","rich_fall","-4.63 [0.3]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + evi * scelev + (1 | month)",40331,"0.22 [0.02]*","-0.24 [0.03]*","2.49 [0.46]*","0.22 [0.06]*",NA,"2.48 [0.14]*",0.151072293733793,0.151072293733793
"140","rich_fall","-4.46 [0.3]*","resp ~ plant_rich + evi + scelev + plant_rich * evi + plant_rich * scelev + evi * scelev + (1 | month)",40293,"0.19 [0.02]*","-0.53 [0.06]*","1.98 [0.46]*","0.31 [0.07]*","0.05 [0.01]*","2.39 [0.14]*",0.164529802628852,0.164529802628852
